County,State,Country,LastUpdate,Lat,Long,Confirmed,Deaths,Recovered,Date,Population,Confirmed_Change,Deaths_Change,Confirmed_POPPCT,Confirmed_POPADJ_GF,Confirmed_POPADJ_GF_Change,Deaths_POPPCT,Deaths_POPADJ_GF,Deaths_POPADJ_GF_Change
ALL,ALL,Venezuela,2020-03-25T23:33:04,6.4238,-66.5897,91,0,15,03-25-2020,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Venezuela,2020-03-25T23:33:04,0.0,0.0,91,0,15,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Venezuela,2020-03-24T23:37:15,6.4238,-66.5897,84,0,15,03-24-2020,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Venezuela,2020-03-24T23:37:15,0.0,0.0,84,0,15,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Venezuela,2020-03-23T23:19:21,6.4238,-66.5897,77,0,15,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Venezuela,2020-03-23T23:19:21,0.0,0.0,77,0,15,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-27T23:23:03,41.377491,64.585262,88,1,5,03-27-2020,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-27T23:23:03,0.0,0.0,88,1,5,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-26T23:48:18,41.377491,64.585262,75,0,0,03-26-2020,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-26T23:48:18,0.0,0.0,75,0,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-25T23:33:04,41.377491,64.585262,60,0,0,03-25-2020,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-25T23:33:04,0.0,0.0,60,0,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-24T23:37:15,41.377491,64.585262,50,0,0,03-24-2020,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-24T23:37:15,0.0,0.0,50,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-23T23:19:21,41.377491,64.585262,46,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uzbekistan,2020-03-23T23:19:21,0.0,0.0,46,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-27T23:23:03,-32.5228,-55.7658,238,0,0,03-27-2020,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-27T23:23:03,0.0,0.0,238,0,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-26T23:48:18,-32.5228,-55.7658,217,0,0,03-26-2020,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0
